questions,answers,dataset,prediction,model,eval
If a customer in 2012 subscribed to BSkyB and also had an HDTV and wanted Sky+ which box would they use?,Sky+HD,aqa,"In 2012, for customers who subscribed to BSkyB and had an HDTV wanting Sky+ functionality, the standard choice would be a Sky+HD Box. Since it was introduced in January 2010 as a replacement for the discontinued non-HD variant of its Multiroom box without Sky+ functionality, customers who required both high definition content (for their HDTV) and Sky+ features would opt for this product. Therefore, they would use the Sky+HD Box as it offered both HD broadcasting capability and Sky+ recording functions at that time.",phi,1
How did people figure out that a woman had subscribed to a sports channel?,"checking claimants' ""Sky TV bills",aqa," The specific details about how individuals or agencies deduced that a woman might have a sports subscription through Sky TV bills are not publicly detailed in the information provided. However, it's plausible that the process could involve scrutinizing an individual's utility bill or digital subscription records for patterns indicating subscriptions typically associated with single-person households, such as certain types of sports channels.

It should be noted that the practice mentioned is considered controversial and has raised privacy concerns among individuals receiving benefits in the UK. The use of personal information to assess eligibility for welfare payments can be seen by many as an overreach into people's private lives, rather than a definitive means of determining household composition or individual circumstances.

This approach was met with backlash and has since been criticized for being both intrusive and potentially discriminatory against low-income families who may prioritize other types of spending over subscriptions that might indicate the presence of a man in the household.",phi,1
BSKyB provides a kind of media service to many households in the UK through what kind of viewing device?,TV,aqa,BSkyB provides a direct-to-home satellite service for pay-TV to many households in the UK through satellite dishes.,phi,1
What medium is primarily listened to?,soundtracks,aqa,"The primary medium described in the provided information is not specifically related to listening; rather, it covers various aspects of television broadcasts and services offered by BSkyB (now known as Sky plc). However, mentioning Dolby Digital soundtracks for recent films implies that an auditory component exists within their standard definition broadcasts. But since the primary medium is about video content delivery via DVB-compliant MPEG standards and various services such as HD broadcasting, interactive services, and EPG (Electronic Program Guide), there isn't a direct emphasis on audio listening in this context.

If we were to infer what people primarily listen to from BSkyB based on the information given, it might involve content accessible through their platforms such as radio broadcasts or podcasts offered by Sky, but these are not explicitly mentioned. The main focus here is visual media consumption via television and related services.",phi,0
Which shape indicates the presence of more light?,vertical columns,aqa,"The orientation of plant and algal cells with their chloroplasts aligning in vertical columns along the cell wall or turning edge-on suggests a higher presence of intense light. This positioning is an adaptive response to minimize exposure to photooxidative damage under such conditions, rather than indicating that more light is present overall.",phi,1
What is Cyanophora considered?,glaucophyte,aqa,"Cyanophora is considered a glaucophyte alga that is thought to be one of the first organisms to contain a chloroplast. Glaucophytes are part of the smallest primary chloroplast lineage, known as muroplasts due to their retention of a peptidoglycan wall in their chloroplasts. This group is believed to have branched off from other chloroplast-containing organisms early in evolutionary history and exhibits primitive features that make it an intermediate between cyanobacteria and more evolved chloroplasts found in red algae and plants.",phi,1
Which of the chloroplast's membranes cannot really be correlated with a mitochondrial membrane at all?,inner chloroplast membrane,aqa,"The inner chloroplast membrane (also known as the stroma thylakoid or the lamellar body) cannot really be directly correlated with any specific aspect of the mitochondrial membranes. While it does share a double-membrane structure similar to mitochondria, its functions and roles are distinct from those found in mitochondria's internal membrane system (the inner mitochondrial membrane), particularly concerning metabolite passage regulation, synthesis of some materials, and the directionality of H+ ion flow.",phi,1
What kind of states are chloroplasts in?,intermediate,aqa,"Chloroplasts exist in a variety of intermediate and dynamic states rather than being confined to absolute or static categories. They can differentiate into chromoplasts, which are pigment-filled plastids responsible for coloration in flowers and fruits, indicating that chloroplasts have the potential to interconvert with other plastid types based on developmental signals and environmental conditions. Additionally, when exposed to certain stimuli like illumination or injury, they can revert back to proplasts (precursor cells) from which they originated. This demonstrates a fluidity in chloroplast states that allows for various functional adaptations throughout the plant's lifecycle.",phi,1
what type of organism is helicosproidia,green algae,aqa,"Helicosporidia, also known as apicomplexans (though not a term typically used for them), are single-celled parasitic protists belonging to the phylum Apicomplexa. They were once thought to be related to other groups of chromalveolates but have since been determined through genetic and molecular studies that they do not belong to this group; instead, helicosporidia (or more accurately, apicomplexans like Plasmodium) are distinct from green algae, such as those classified under the group Helicosporida. They've adapted a unique organelle called the apicoplast for various metabolic functions despite not being photosynthetic.

To clarify your question: The term ""helicosproidia"" is likely a mix-up or confusion between helicosporidia (the common name previously used to refer broadly to this group of parasites) and Helicosporida, which was an erroneous classification for green algae before genetic evidence clarified their relationship.

However, it's important to note that the correct term is Apicomplexa when referring specifically to these groups of organisms.",phi,0
Where is a diatom endosymbiont's food found?,in granules in the dinophyte host's cytoplasm,aqa,"A diatom (heterokontophyte) derived chloroplast's starch is not stored within its own structure but rather in granules found in the dinophyte host's cytoplasm. This indicates that although the diatom endosymbiont has a complete cellular machinery, it relies on the dinophyte for storing its photosynthetically produced food.",phi,1
"There are alcohols, ethers, ketones, esters, acid anhydrides, and amides, what else contain oxygen?",aldehydes (R-CO-H); carboxylic acids (R-COOH),aqa,"In addition to alcohols, ethers, ketones, esters, acid anhydrides, and amides, other classes of organic compounds that contain oxygen include:

1. Carboxylic Acids - These are characterized by a carbonyl group (C=O) bonded to a hydroxyl group (-OH), making the general formula R-COOH where ""R"" is an organic group, as in acetic acid (CH3COOH).

2. Phenols - Similar to alcohits but with an oxygen atom directly attached to an aromatic ring, exemplified by C6H5OH, which is phenol itself.

3. Glycols or Diols - These are organic compounds containing two hydroxyl groups (-OH) on adjacent carbon atoms; ethylene glycol (HO-CH2-CH2-OH) and propylene glycol (HO-CH2-CH(CH3)-CH2-OH) are common examples.

4. Aldehydes - As described, they contain a carbonyl group bonded to at least one hydrogen atom; formaldehyde (HCHO) and acetaldehyde ((CH3)2CO) are well-known aldehydes.

5. Epoxides - These are cyclic ethers with a three-membered ring, where the oxygen is part of this ring structure; an example includes ethylene oxide (C2H4O).

6. Hemiacetals and Acetals: These compounds contain one or more hydroxyl groups attached to carbon that also has an additional substituent derived from a carbonyl group. An example of hemiacetal is the formation between an alcohol and an aldehyde, while acetals are formed when two alcohols react with another carbonyl compound (either an aldehyde or ketone).

7. Amides - Besides primary and secondary amides, as mentioned in the context, there can also be tertiary amides where the nitrogen atom is bonded to three organic groups (not directly connected by a single carbon atom), such as NHRR'C(=O).

These classes of oxygen-containing compounds are fundamental in various chemical reactions and applications across multiple industries, including pharmaceuticals, polymers, solvent production, and more.",phi,1
What is created first?,chemical bonds,aqa,"In the context provided, when oxygen forms chemical bonds with other elements to create oxides, it primarily occurs through a process of reactions rather than sequential steps. The formation of an oxide layer on metal surfaces happens upon exposure to air or specifically in corrosion processes. Therefore, there isn't a clear ""first"" event as described but the sequence would generally follow:

1. Oxygen molecules (O2) come into contact with metals like aluminium and titanium.
2. These oxygen atoms react with metal atoms to form oxides on the surface, such as Al2O3 for aluminum or TiO2 for titanium. This process is often referred to as passivation because it forms a protective layer that slows further corrosion.

As for the formation of non-stoichiometric compounds like Fe1−xO (wüstite), this occurs during specific chemical reactions under certain conditions, rather than being an initial or sequential event in general oxidation processes. 

If you're asking about what ""creates"" a reaction sequence leading to the formation of these materials, it would be initiated by exposure of metals to oxygen-containing environments (like air), which leads to their oxidation and subsequent reactions resulting in the formation of protective layers or non-stoichiometric compounds.",phi,1
How are gases sometimes transported?,bulk as a liquid,aqa,"Gases are sometimes transported by being liquefied and then stored or shipped in specially insulated tankers. This method is economical due to the large volume that one liter of liquefied oxygen represents compared to its gaseous state at atmospheric pressure (840 liters). These tankers are used to refill bulk liquid oxygen storage containers, which are commonly found outside hospitals and other institutions requiring substantial volumes of pure oxygen gas. Additionally, gases can be transported in smaller cylinders containing compressed gas for portable medical applications and specific industrial uses like welding and cutting.",phi,1
What part of the vegetation is measured?,canopies,aqa,"In this context, the part of the vegetation that is primarily measured are the reflectance and fluorescence properties in two specific spectrophotometric absorption bands at 687 nm and 760 nm. These measurements aim to characterize plant health status by discriminating between reflectance (light reflected off the surface) and fluorescence (emitted light from a vegetation sample after it has absorbed photons). While not directly measuring a physical part of the vegetation, these optical properties can provide valuable insights into vegetation health, productivity, and its role in the carbon cycle.",phi,0
Which element is mentioned?,O2,aqa,The element mentioned in the context is oxygen (O2).,phi,1
"On the Celsius scale, when does O2 condense?",−182.95 °C,aqa,"Oxygen (O2) condenses on the Celsius scale at −183 °C. This is derived from the given Kelvin temperature of 90.20 K by converting it using the conversion formula: °C = K - 273.15. So, 90.20 K - 273.15 = −183 °C.",phi,1
The government reform movement was ultimately an attempt create a consolidated government between Jacksonville and what?,Duval County,aqa,"The government reform movement in Jacksonville was ultimately an attempt to create a consolidated government between Jacksonville and Duval County's municipalities. Prior to the consolidation, Jacksonville existed as separate city-county entities with its own administration, while the numerous smaller towns within Duval County each had their own local governments. The reform aimed at unifying these fragmented administrative structures into a single entity for more efficient management of services and resources.",phi,1
Why is Jacksonville a deep-water port?,Harbor improvements since the late 19th century,aqa,"Jacksonville became a major military and civilian deep-water port due to harbor improvements made since the late 19th century. The city's riverine location facilitated these enhancements which allowed for deeper channels, enabling larger vessels to access its ports safely without running aground. As a result, Jacksonville's Port of Jacksonville is able to accommodate deep-draft ships and handle significant maritime trade volumes. Additionally, the strategic importance of having a well-equipped port with depth suitable for military operations contributed to this development as seen by the presence of two US Navy bases nearby. The combination of these factors has established Jacksonville as one of Florida's major deep-water ports.",phi,1
Who enforced the martial law?,state militia to,aqa,"Governor Jennings enforced the martial law after the Great Fire of 1901 in Jacksonville, Florida.",phi,0
What was the original name of the structure that was built after 1987?,the Barnett Center,aqa,"The original name of the structure built after 1987 is not mentioned explicitly for any specific building in Downtown Jacksonville's skyline within the provided context. The Bank of America Tower, which was constructed as the Barnett Center in 1990, and Riverplace Tower (completed in 1967) are examples but do not meet the criteria based on the years specified after 1987. However, it is worth mentioning that both mentioned buildings did undergo name changes later: the Bank of America Tower was originally known as the Barnett Center when completed in 1990. To answer precisely for a structure built after 1987 with an original name provided, additional information would be needed beyond what's given here.",phi,1
Who did the Timucua meet?,Europeans,aqa,"The Timucuan people met Europeans when contact was made between them and explorers from European nations. This historical meeting is not specified to a particular individual or group of Europeans in the given text; it generally refers to Spanish explorers, as they were among the first Europeans to explore Florida during this period. The most notable early interaction with the Timucua people would have been led by explorers like Juan Ponce de León and Pedro Menéndez de Avilés, who arrived in Florida in the late 16th century.",phi,1
What was going on in north Florida following the civil war?,Jacksonville and nearby St. Augustine became popular winter resorts for the rich and famous,aqa,"Following the Civil War, during Reconstruction and into the Gilded Age, North Florida experienced several notable developments including Jacksonville and St. Augustine becoming popular winter resorts for the wealthy. Visitors used steamboats and later railroads to reach these destinations. The Sub-Tropical Exposition in 1888, attended by President Grover Cleveland, highlighted Florida's potential as a tourist destination. However, Jacksonville faced challenges due to yellow fever outbreaks that impacted the city's tourism sector negatively. Additionally, with the extension of the Florida East Coast Railway further south, other areas started drawing visitors away from Jacksonville. Between 1893 and 1938, there was also an establishment of the Florida Old Confederate Soldiers and Sailors Home in Jacksonville, indicating a continued focus on honoring those associated with the Civil War era within the region.",phi,1
What is TM used for?,to accurately place the different portions of the Amazon into one of the four classifications,aqa," The Thematic Mapper (TM), in this context, was used as a remote sensing tool within satellite imagery to aid in accurately placing different portions of the Amazon forest into one of four classifications based on tree growth stages. Specifically, it provides multispectral imagery that helps differentiate between various types of vegetation and land cover by capturing data across several spectral bands (ranging from visible light to thermal infrared). This capability is crucial for environmental monitoring and managing the Amazon's biomass and carbon-related emissions, as it allows researchers to assess forest conditions and changes over time.",phi,1
"The rainforest is described as growing after the Cretaceous-Paleogene extinction event, specifically during what time period?",66–34 Mya,aqa,"The tropical rainforest is described as expanding significantly in size and spread across the continent following the Cretaceous–Paleogene extinction event from 66 to 34 million years ago (Mya). This expansion occurred particularly after this mass extinction event, which marked the end of the dinosaurs' reign approximately 66 Mya. The period leading up to and including this time frame saw a warmer climate that contributed to the spread of tropical rainforests.",phi,1
What environmental changes in the southern hemisphere were cause by glaciers,changes in Amazon rainforest vegetation over,aqa,"The primary environmental change caused by glaciers during the Last Glacial Maximum (LGM) related to climate and not specifically within the Southern Hemisphere's Amazon rainforest. However, it is important to note that during this period, global climatic effects influenced various regions worldwide. In terms of the LGM impact on Earth as a whole:

1. Cooler temperatures: The presence of large ice sheets in the Northern Hemisphere led to lower global temperatures due to increased albedo (reflectivity) and changes in atmospheric circulation patterns. This cooling also affected the Southern Hemisphere, although it was less pronounced than in the north.

2. Altered precipitation patterns: Glacial periods often alter global precipitation patterns, leading to drier conditions in some regions of the world. However, evidence for significant changes specifically in the Amazon rainforest during the LGM is more focused on reduced rainfall rather than direct glacier-induced environmental shifts.

3. Changes in sea level and ocean circulation: The formation of large ice sheets caused a drop in global sea levels due to the stored water being trapped as ice, while also altering patterns of oceanic circulation. These changes impacted marine ecosystems worldwide but had less direct influence on land environments like the Amazon rainforest during that time period.

It's crucial to understand that these broader climate effects affected regions globally and not just within specific parts of the Southern Hemisphere, such as the Amazon rainforest. The environmental changes in the southern hemisphere specifically related to the Amazon rainforest were predominantly due to localized climatic variations influenced by glaciation during the LGM.",phi,1
Air that moves is?,wind,aqa,"The air that moves as described in your context refers to the atmospheric circulation patterns responsible for transporting dust from the Sahara Desert across the Atlantic Ocean to the Amazon Basin and other regions such as the Caribbean Sea. This movement of air, carrying the particulate matter over vast distances, is influenced by wind patterns that are driven by differences in temperature (thermal) and pressure (atmospheric pressure). Specifically, these dust movements can be associated with phenomena like trade winds and monsoon systems which affect weather and climate across multiple continents.",phi,1
Why are tribes protecting their lands?,from commercial interests,aqa,"The tribes are protecting their lands primarily because they want to safeguard their ancestral territories from exploitation by commercial interests. Without clearly defined boundaries, these regions are vulnerable to encroachment and destruction as businesses seek access to resources such as timber, minerals, or land for agricultural use. By mapping out their tribal lands using handheld GPS devices and remote sensing technologies like Google Earth, the indigenous tribes can establish evidence of their historical connection to these territories, thereby strengthening their territorial claims and legal rights to protect their environment from degradation or exploitation. Additionally, preserving their ancestral lands helps maintain their cultural heritage, traditional lifestyles, and autonomy over natural resources that are vital for their livelihoods and spiritual beliefs.",phi,1
What media outlet was instrumental in furthering research about the Amazon?,BBC,aqa,The BBC's Unnatural Histories was instrumental in furthering research about the Amazon by presenting evidence of human influence on the rainforest and its complex civilization.,phi,1
what did Kipchoge Keino create a distance dynasty in?,Olympic and Commonwealth Games,aqa,"Kenya. Kipchoge Keino created a distance dynasty primarily in Kenyan athletics during the 1970s through his outstanding performances and contributions to the country's long-distance running success, including events like the marathon and middle-distance races.",phi,0
"Which is the biggest of the ""Big Five"" game animals of Africa?",elephant,aqa," The largest of the ""Big Five"" game animals of Africa is the elephant. Elephants are known for their significant size and weight among these iconic African wildlife species.",phi,1
"With relation to the divergence from the previous set of governmental guidelines, what was the general take of those on the globe who were not directly affected?",praised,aqa,"The global community's response to Kenya's new constitution and its move away from the previous governance structure was largely positive. The international actors, including foreign leaders, organizations, and analysts, commended the significant efforts towards democratic reform, enhanced decentralization, strengthened human rights protections, and improved governance in Kenya.

Many nations expressed their support for these reforms through public statements, diplomatic visits, or by participating in the ceremonial event held on 27 August 2010 when the new constitution was promulgated. Key African leaders from countries such as Uganda, Tanzania, and Nigeria attended the ceremony, demonstrating regional solidarity with Kenya's democratic aspirations.

Furthermore, international organizations like the United Nations (UN), International Monetary Fund (IMF), World Bank, and various human rights groups also lauded the new constitution for providing a more inclusive and participatory political environment in Kenya. They noted that these changes would lead to better governance and increased stability within the country.

Overall, those on the globe who were not directly affected by the specific details of the Kenyan constitutional change took note of this significant milestone for democratic progress in Africa and generally welcomed it as a step towards more accountable and responsive governance in Kenya.",phi,1
What is the largest revenue source for Kenya?,service sector,aqa,"The largest revenue source for Kenya, as mentioned in the provided text, comes from exports related to agriculture. Specifically, 50% of Kenya's export revenue originates from this sector. Among the key contributions to these exports are horticultural produce and tea, which are also highlighted as major growth sectors and primary cash crops in Kenyan agriculture. However, it is not explicitly stated that either horticultural produce or tea individually generates the largest revenue; instead, their combined contribution to export revenues from agriculture forms a significant portion of Kenya's total export revenue.",phi,0
"What does the third letter in ""KANU"" refer to?",National,aqa," The third letter in ""KANU,"" which stands for Kenya African National Union, refers to 'N'. In this acronym, each letter corresponds to a word that collectively represents the organization's name. K is for Kenya, A for Africa, and N for National. Thus, the union was formed as an umbrella political party advocating for the independence of Kenya from British colonial rule.",phi,1
what shields the military from scrutiny,ubiquitous blanket of “state security”,aqa,"The traditional factors that have shielded the Kenyan military (and other government institutions) from scrutiny include a blanket of ""state security"" and lack of transparency in its operations. These elements often kept their activities out of public view, making it more difficult for corruption allegations to be exposed or pursued. However, as highlighted by the 2010 revelations regarding Armoured Personnel Carriers' recruitment and procurement, these barriers are being increasingly challenged. This shift towards greater transparency reflects a broader trend wherein institutions previously veiled behind state security are now facing more intense public scrutiny.",phi,1
what time period is mentioned first?,1933,aqa,"The first time period mentioned is ""since 1933."" This refers to the University of Chicago's offering of a doctorate in music composition.",phi,1
What two faculty members have the same initials?,"Murray Gell-Mann who introduced the quark, second female Nobel laureate Maria Goeppert-Mayer",aqa,"From the provided list, A. A. Michelson (Michelson) and Arthur H. Compton both share the same initials ""A. A.""",phi,0
Does the University of Chicago offer more degrees in majors or minors?,majors,aqa,"The University of Chicago offers more Bachelor of Arts and Bachelor of Science degrees in 50 academic majors than it does in 28 minors. Therefore, there are more degree options available as majors compared to minors.",phi,1
Who thinks three moves ahead?,Samuel Reshevsky,aqa," The information provided mentions chess grandmaster Samuel Reshevsky. In chess, it is said that a player who consistently thinks several moves ahead in order to anticipate their opponent's actions and plan their strategy accordingly can be described as thinking ""three moves ahead."" Therefore, based on the given context, it would be Samuel Reshevsky who exemplifies this characteristic.",phi,1
Whose ideas drove the university's earliest teachings?,Harper and future president Robert Maynard Hutchins,aqa,"The ideas that drove the University of Chicago's earliest teachings were championed by William Rainey Harper and future president Robert Maynard Hutchins. They advocated for a curriculum based on theoretical and perennial issues, rather than applied sciences and commercial utility. This vision emphasized deep understanding and broad intellectual pursuits over immediate practical application.",phi,1
The concept of organization decision-making came from whom?,Herbert A. Simon,aqa,"Herbert A. Simon is responsible for the modern interpretation of the concept of organizational decision-making. As mentioned in the given context, he was a Nobel laureate and an influential figure in economics who contributed significantly to this field.",phi,1
In what country is Normandy located?,France,squad,Normandy is located in France.,phi,1
Who was the duke in the battle of Hastings?,William the Conqueror,squad,"The Duke involved in the Battle of Hastings was William the Conqueror. He led the Norman forces that defeated King Harold II's army, leading to the Norman conquest of England in 1066. William became known as William I or William the Bastard and subsequently reigned over England for nearly three decades after his victory at Hastings.",phi,1
What is the original meaning of the word Norman?,Viking,squad,"The original meaning of the word ""Norman"" traces back to Old Low Franconian (a historical language variety related to Old Dutch) where it was Nortmann, which referred to a ""Northman"" or Norse person. This term was further Latinized in various forms such as Nortmannus, Normannus, and Nordmannus by Medieval Latin speakers. It specifically meant ""Viking,"" pointing towards individuals from the northern parts of Europe who were known for their seafaring activities during the Viking Age.",phi,1
When was the Duchy of Normandy founded?,911,squad,The Duchy of Normandy was founded in 911 as a fiefdom according to the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and Rollo.,phi,1
What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?,Computational complexity theory,squad,"The branch of theoretical computer science that deals with broadly classifying computational problems by their inherent difficulty and the relationships among these classes is known as Computational Complexity Theory. This field examines how various algorithms solve different types of problems, categorizes them into complexity classes based on the resources they require (such as time or memory), and studies the connections between these categories to understand which problems can be efficiently solved relative to others.",phi,1
What measure of a computational problem broadly defines the inherent difficulty of the solution?,if its solution requires significant resources,squad,"The inherent difficulty of solving a computational problem is broadly defined by measures such as time complexity (how long it takes to solve) and space complexity (the amount of memory required). These measures help in quantifying the resources needed for an algorithm to solve a given problem, regardless of the specific method used. Other related complexity measures include communication complexity, circuit complexity, and parallel computing measures like processor count, but time and storage requirements are central indicators of inherent difficulty within computational complexity theory.",phi,1
What two fields of theoretical computer science closely mirror computational complexity theory?,analysis of algorithms and computability theory,squad,"While your description accurately contrasts analysis of algorithms and computability theory with computational complexity theory, it's important to clarify that these three areas are distinct yet interconnected domains within theoretical computer science. None of the mentioned fields—analysis of algorithms or computability theory—are specifically mirrored as analogs of computational complexity theory; instead, they complement each other in understanding algorithmic processes and problem-solving capabilities.

However, there is a related field known as ""algorithmic information theory"" that shares some common ground with computational complexity by dealing with the resources required to solve problems, albeit from different perspectives:

1. **Algorithmic Information Theory**: This area explores the amount of information needed to describe an object (such as a string or function) and how this relates to its compressibility and solvability. It examines the inherent complexity of objects, which can be loosely related to computational complexity in that both fields consider resource constraints—in one case for describing and encoding data, and in the other for solving problems.

2. **Meta-analysis**: This field studies overarching patterns among multiple algorithms or problem instances by analyzing their performance across a diverse set of scenarios, including those with bounded resources as computational complexity theory does.

Again, while these areas are not direct mirrors to computational complexity theory, they are related and contribute to the broader understanding of computation from different angles in theoretical computer science.",phi,1
What is the name given to the input string of a computational problem?,problem instance,squad,"The name given to the input string of a computational problem is referred to as a ""problem instance.""",phi,1
What is Southern California often abbreviated as?,SoCal,squad,Southern California is often abbreviated as SoCal.,phi,1
What is the name of the region that is not defined by the eight or 10 county definitions?,Southern California Megaregion,squad,"The name of the region that is not defined by the eight or ten county definitions is the Greater Southern California Megaregion. This megaregion extends east into Las Vegas, Nevada, and south across the Mexican border into Tijuana.",phi,1
Which coastline does Southern California touch?,Pacific,squad,"Southern California touches both the Pacific Ocean coastline and extends inland to areas not directly adjacent to any oceanic coastline but within proximity to it. The heavily built-up urban area stretches along the Pacific Coast from Ventura, through the Greater Los Angeles Area and the Inland Empire, down to Greater San Diego. Therefore, Southern California touches the Pacific Ocean coastline in its southern regions, specifically along areas such as Ventura County, Orange County, and parts of San Luis Obispo and Santa Barbara counties that border it directly or are nearby.",phi,1
What is the name of the water body that is found to the east?,Colorado River,squad,"The water body found to the east in the given context is the Colorado River. It forms a natural boundary at the border with Arizona and flows through several states before reaching its delta in the Gulf of California, between Baja California in Mexico and the State of Sonora in Mexico.",phi,1
What company was formed by the merger of Sky Television and British Satellite Broadcasting?,BSkyB,squad,"The company formed by the merger of Sky Television and British Satellite Broadcasting (BSB) in November 1990 is BSkyB. Following further developments, its holding company became known as Sky plc after acquiring significant interests in international markets. The UK operations also adopted a new name for their subsidiary: Sky UK Limited.",phi,1
What year was Setanta Sports awarded Primeier Leage rights to broadcast?,2006,squad,Setanta Sports was awarded Premier League rights to broadcast in May 2006.,phi,1
What consortium was BSkyB excluded from?,ONdigital,squad,BSkyB was excluded from being a part of the ONdigital consortium.,phi,1
What service did BSkyB chare additional subscription fees for?,Sky+ PVR,squad,"BSkyB initially charged additional subscription fees for using the Sky+ Personal Video Recorder (PVR) with their service. Customers who subscribed to packages including two or more premium channels were exempt from this charge, but others had to pay extra for the Sky+ PVR functionality until it became included at no extra cost in certain subscription packages as of 1 July 2007.",phi,1
What kind of economy does Victoria have?,diversified,squad,"Victoria has a highly diversified economy. It consists of service sectors such as financial and property services, health, education, wholesale, retail, hospitality, and manufacturing which constitute the majority of employment opportunities. Although its total gross state product (GSP) is ranked second in Australia, Victoria's GSP per capita ranks fourth due to limited mining activity. This diversified economic structure reflects a strong balance between various sectors contributing to the overall prosperity and stability of Victoria's economy.",phi,1
Where is the Asian influence strongest in Victoria?,Bendigo,squad,"The Asian influence is particularly strong in Bendigo and its environs in Victoria, where many Chinese miners worked during the gold rush era. These communities have left a significant cultural legacy that continues to be felt today.",phi,1
What kind of representational system does the Victorian Legislative Council have?,multi-member proportional,squad,"The Victorian Legislative Council uses a Multi-Member Proportional Representation System, specifically employing Single Transferable Vote (STV) for electing its representatives. In this system, voters rank candidates in order of preference on their ballots, and these preferences are used to allocate seats proportionally among parties or groups so that the overall composition mirrors as closely as possible the distribution of votes cast by the electorate. Each electorate is represented by five members under this system following the 2006 elections reforms in Victoria.",phi,1
What political party is strongest in Melbourne's working class suburbs?,Australian Labor Party,squad,The Australian Labor Party (ALP) is traditionally strongest in Melbourne's working-class western and northern suburbs.,phi,1
Where was France's Huguenot population largely centered?,the southern and central parts of France,squad,The French Huguenot population was largely centered in the southern and central parts of France.,phi,1
The term Huguenot was originally meant to confer?,derision,squad,"The term Huguenot was originally meant to convey derision and mockery. It combined a reference to the Swiss politician Besançon Hugues with connotations related to ""housemates"" (Huisgenoten in Dutch) and ""Confederates"" (Eidgenosse in German), aiming to associate Protestantism with political notions that were unpopular or contentious, particularly within the context of France's religious conflicts.",phi,1
What helped spread Protestantism in France?,availability of the Bible in vernacular languages,squad,"The availability of the Bible in vernacular languages significantly contributed to the spread of Protestantism in France. By making religious texts accessible in local tongues rather than Latin, it empowered a wider audience with direct access to scriptures and ideas that fueled dissent against Catholic doctrine. This played an essential role alongside other factors such as political motivations, economic grievances, and the influence of key figures within the Protestant movement, including John Calvin who had settled in Geneva but impacted France through his writings and teachings. The Reformation was further bolstered by the printing press, which enabled rapid dissemination of Protestant literature.",phi,1
What were the towns granted to the Huguenots in 1598 collectively called?,villes de sûreté,squad,"The towns granted to the Huguenots in 1598 were collectively called ""villes de sûreté.""",phi,1
"Along with geothermal and nuclear, what is a notable non-combustion heat source?",solar,squad,"A notable non-combustion heat source, alongside geothermal and nuclear energy, is solar power. Solar energy harnesses the heat from the sun using technologies like photovoltaic cells (which convert sunlight directly into electricity) or concentrated solar power systems that focus sunlight to produce high temperatures, similar to how a magnifying glass can create a hot spot on paper by concentrating light. This form of energy is renewable and environmentally friendly, as it does not emit greenhouse gases during operation.",phi,1
What was the first true engine that was commercially successful?,atmospheric engine,squad,"The first commercially successful true engine was the atmospheric engine, invented by Thomas Newcomen around 1712. This innovation marked a significant advancement over previous steam-powered technology, such as Savery's steam pump, and laid the groundwork for future developments in power generation and transmission systems.",phi,1
In what country was a full-scale working railway steam locomotive first invented?,United Kingdom,squad,A full-scale working railway steam locomotive was first invented in the United Kingdom.,phi,1
What device is used to recycle the boiler water in most steam engines?,water pump,squad,"The device commonly used to recycle or top up the boiler water in most practical steam engines is a water pump. Specifically, utility and industrial boilers often employ multi-stage centrifugal pumps for this purpose. Additionally, injectors have been utilized historically, particularly since the 1850s, but they are less prevalent today compared to modern water pumps.",phi,1
The atomic number of the periodic table for oxygen?,8,squad,The atomic number of oxygen in the periodic table is 8.,phi,1
Oxygen is released in cellular respiration by?,photosynthesis,squad,"There seems to be a misunderstanding in the provided information. In fact, oxygen is not released during cellular respiration; instead, it is consumed. Oxygen acts as an electron acceptor at the end of the electron transport chain within mitochondria during cellular respiration. As electrons are passed along this chain, they eventually combine with hydrogen ions and free oxygen to form water (H2O). This process releases energy that cells use for various functions. Oxygen is released into the atmosphere as a by-product of photosynthesis carried out by plants, algae, and some bacteria, not cellular respiration.",phi,1
Who proved that air is necessary for combustion?,Robert Boyle,squad,Robert Boyle proved that air is necessary for combustion in the late 17th century.,phi,1
"""An Account of Further Discoveries in Air"" was published by who in 1775?",Joseph Priestley,squad,"""An Account of Further Discoveries in Air"" was published by Joseph Priestley in 1775.",phi,1
