,question,golden_answer,answer,judge,model
2748,how long were the pyramids the tallest structure,"over 3,800","The Great Pyramid of Giza was the tallest structure in the world for over 3,800 years, from its completion around 2560 BC until the erection of the Lincoln Cathedral in England in 1311 AD.",True,gpt35
2749,what year did bennie and the jets come out,in 1973,Bennie and the Jets was released in 1973.,True,gpt35
2750,who plays rachel on jessie punch dumped love,Isabella Palmieri,The role of Rachel on Jessie is played by actress Debby Ryan.,False,gpt35
2752,how many hoops are used in a game of croquet,six,Six hoops are used in a game of croquet.,True,gpt35
2753,who starred in the movie romancing the stone,Manuel Ojeda,The movie Romancing the Stone stars Michael Douglas and Kathleen Turner.,True,gpt35
2754,who present the central budget in lok sabha,the Finullce Minister of India,The Finullce Minister of India presents the Union Budget in the Lok Sabha every year. The current Finullce Minister of India is Nirmala Sitharaman.,True,gpt35
2755,who founded amazon where is the headquarters of amazon,"Seattle, Washington","Amazon was founded by Jeff Bezos in 1994 and is headquartered in Seattle, Washington, United States.",True,gpt35
2756,who is the longest railway station in india,Gorakhpur Junction,The longest railway station in India is the Dibrugarh Town railway station in Assam. It has a total of 23 platforms.,False,gpt35
2758,when did ford change the f150 body style,the 2009 model year,Ford changed the F-150 body style in the year 2015.,False,gpt35
2759,an open-source clone of unix created in the early 1990s,GNU,"The most well-known open-source clone of Unix is Linux. It was created in 1991 by Linus Torvalds. Linux has become the most widely used open-source operating system, powering millions of computers, phones, and other devices around the world.",True,gpt35
2760,who played the little boy in polar express,Daryl Sabara,Tom Hanks,False,gpt35
2761,who played the elephant man in the film,John Hurt,John Hurt played the Elephant Man in the 1980 film of the same name.,True,gpt35
2762,who plays the mom on the tv show mom,Allison Janney,Anna Faris plays the lead role of Christy Plunkett on the CBS sitcom Mom.,True,gpt35
2763,where are the first nations located in canada,south of the Arctic,The First Nations are located in all provinces and territories of Canada.,False,gpt35
2764,what is the origin of the name robinson,English language patronymic surname,"The surname Robinson is of English origin, derived from a patronymic form of the personal name Robin, a diminutive of Robert. The name is thought to have originated in the Middle Ages and was likely first found in the north of England.",True,gpt35
2765,who was the guy who died in glee,Cory Allan Michael Monteith,"The character who died in Glee was Cory Monteith's character, Finn Hudson.",False,gpt35
2766,who played little ricky on i love lucy show,Keith Thibodeaux,The role of Little Ricky was played by child actor Keith Thibodeaux.,True,gpt35
2767,where does the show the path take place,Upstate New York,The Path takes place in upstate New York.,True,gpt35
2768,when was clash royale released in the us,"March 2, 2016","Clash Royale was released in the United States on March 2, 2016.",True,gpt35
2769,german word for pleasure from someone else's pain,Schadenfreude,Schadenfreude,True,gpt35
2771,when did taylor swift's first album release,"October 24, 2006","Taylor Swift's self-titled debut album was released on October 24, 2006.",True,gpt35
2774,who is dylan's father in bates motel,"Norma's brother, Caleb",Dylan's father is Norma Bates.,False,gpt35
2775,who played mary in christmas with the kranks,Felicity Huffman,Jamie Lee Curtis,False,gpt35
2777,when did ireland gain its independence from england,In 1922,Ireland gained its independence from England in 1921 with the signing of the Anglo-Irish Treaty.,False,gpt35
2778,when did the great plague of london start and end,1665 to 1666,"?

The Great Plague of London started in late 1664 and ended in spring 1666.",True,gpt35
2779,delhi is on the banks of which river,Yamuna,Delhi is located on the banks of the Yamuna River.,True,gpt35
2780,when was the book pride and prejudice written,28 January 1813,Pride and Prejudice was written by Jane Austen and was first published in 1813.,True,gpt35
2781,who sang buddy can you spare a dime,Rudy Vallee,"The song ""Buddy, Can You Spare a Dime?"" was written by lyricist E.Y. ""Yip"" Harburg and composer Jay Gorney and popularized by Bing Crosby in 1932.",True,gpt35
2783,who is the all time leading scorer in ncaa tournament history,Pete Maravich,"Kareem Abdul-Jabbar, who played for the UCLA Bruins, is the all-time leading scorer in NCAA tournament history with 1,076 points.",False,gpt35
2784,by 1914 which of the following african countries were still independent,Liberia,"The following African countries were still independent in 1914: Ethiopia, Liberia, Morocco, Tunisia, and South Africa.",True,gpt35
2785,when was the day that the pubs ran dry in the poem 9-3,31 October 1972,"-2020

The poem does not mention a specific date, but it does mention that the pubs ran dry ""a few weeks ago,"" which would likely have been in late February or early March of 2020.",False,gpt35
2786,where does aarp fall on the political spectrum,non-partisan,AARP is a nonpartisan organization and does not align itself with any political party or candidate.,True,gpt35
2787,who sang the song tell me something good,Rufus and Chaka Khan,"The song ""Tell Me Something Good"" was originally performed by Rufus and Chaka Khan.",True,gpt35
2788,french film pioneer who introduced newsreel in 1910,Charles Pathé,Georges Méliès.,False,gpt35
2790,when did the revolution begin in the united states,1775,"The American Revolution began on April 19, 1775, with the Battles of Lexington and Concord.",True,gpt35
2791,through what process has the colorado river created the grand canyon in the usa,erosion,"The Grand Canyon was formed by the Colorado River over millions of years. The river carved its way through the sedimentary rocks of the Colorado Plateau. As the river cut deeper and deeper into the canyon, it exposed the layers of rock that are seen today. The Colorado River continues to carve the Grand Canyon, although at a much slower rate than before.",True,gpt35
2792,where do they film young and the restless,CBS Television City,"The Young and the Restless is filmed at CBS Studio Center in Studio City, California.",True,gpt35
2793,who started ww2 and how did it start,Nazi Germany,"World War II began on September 1, 1939, when Nazi Germany invaded Poland. The German invasion was a response to a non-aggression pact that had been signed between Germany and Poland in 1934. Adolf Hitler, the leader of Nazi Germany, wanted to expand his country's borders and believed that Poland was the perfect target for his aggressive military expansion.",True,gpt35
2794,guardians of the galaxy blue guy in prison,Michael Rooker,"The blue guy in prison is Yondu Udonta, a Ravager and one of the Guardians of the Galaxy. He was imprisoned in the Kyln for leading a mutiny against his leader, Taserface. He is eventually freed by the Guardians and joins them in their mission to save the galaxy.",False,gpt35
2795,what happened to the west wing of the white house during a christmas party in 1929,electrical fire,"On December 24, 1929, a Christmas party was held in the West Wing of the White House. During the party, a fire broke out in the attic, which spread to the West Wing. The fire was quickly extinguished and no one was injured, but the West Wing suffered extensive damage and was closed for repairs until the spring of 1930.",True,gpt35
2796,when is the next step season 3 coming out,"March 16, 2015",The release date for Step Up: High Water Season 3 has not yet been announced.,False,gpt35
2798,when do you pray the chaplet of divine mercy,Good Friday,"The Chaplet of Divine Mercy is typically prayed at 3 pm in the afternoon, as this is the hour of Jesus' death on the cross.",False,gpt35
2799,who does the voice of mrs. wolowitz on the big bang theory,Carol Ann Susi,The voice of Mrs. Wolowitz on The Big Bang Theory is provided by Carol Ann Susi.,True,gpt35
2801,who has the highest paid contract in the nba,Stephen Curry,"The highest paid contract in the NBA is currently held by Russell Westbrook, who signed a five-year, $206.8 million extension with the Oklahoma City Thunder in 2017.",False,gpt35
2802,what kind of beast is the beast from beauty and the beast,a chimera,The Beast from Beauty and the Beast is a prince who is cursed and transformed into a beast.,True,gpt35
2803,where did iowa state football coach come from,"Massillon, Ohio","Iowa State football coach Matt Campbell came to Ames from Toledo, where he had been head coach since 2011.",True,gpt35
2804,how many points are scored for a touchdown in american football,six,A touchdown in American football is worth 6 points.,True,gpt35
2805,when did they stop saying mass in latin,from 1967 onwards,The Second Vatican Council (1962–1965) officially ended the use of Latin as the language of the Roman Catholic Mass.,False,gpt35
2806,new mexico was admitted to the union as the . . . state,47th,47th state,True,gpt35
2808,who was the first imperial power that was fighting in vietnam,France,"The first imperial power to fight in Vietnam was France. France had colonized Vietnam in the late 19th century and maintained control of the country until the end of World War II. During the First Indochina War (1946-1954), France fought against the Viet Minh, a communist-led nationalist movement, for control of the country.",True,gpt35
2809,where is the bread plate located in a formal setting,at each place,The bread plate is located to the left of the dinner plate.,False,gpt35
2810,when did the movie varsity blues come out,1999,"Varsity Blues was released in the United States on January 15, 1999.",True,gpt35
2811,who developed the first printing press in 1430s,Johannes Gutenberg,Johannes Gutenberg is credited with inventing the first printing press in the 1430s. He is credited with revolutionizing the world of printing and making books more accessible to the masses.,True,gpt35
2812,when do wood thrushes fly when they are migrating,in the winter,Wood thrushes typically migrate during the late summer and early fall. They usually begin their southward migration in late August or early September and arrive at their wintering grounds in October or November.,False,gpt35
2813,how long is one full rotation of the earth,about 24 hours,"One full rotation of the earth takes 24 hours, or 86,400 seconds.",True,gpt35
2814,who sponsored the phoenix open before waste management,Friedman Billings Ramsey,The Phoenix Open was sponsored by FBR (formerly known as the FBR Open) from 2003 to 2018.,True,gpt35
2815,when did australia 2 win the america's cup,1983,Australia II won the America's Cup in 1983.,True,gpt35
2816,where do the maple leafs play hockey in toronto,Air Canada Centre,"The Toronto Maple Leafs play their home games at Scotiabank Arena in Toronto, Ontario.",False,gpt35
2817,who is hosting e live from the red carpet,Ryan Seacrest,The 2021 Golden Globe Awards will be hosted by Tina Fey and Amy Poehler.,False,gpt35
2818,who plays the voice of chucky in seed of chucky,Brad Dourif,Brad Dourif voices Chucky in Seed of Chucky.,True,gpt35
2819,when does season 8 for blue bloods start,"September 29, 2017","The eighth season of Blue Bloods premieres on Friday, September 27, 2019 on CBS.",False,gpt35
2820,mainland greece is a body of land with water on three sides called,peninsula,"Mainland Greece is a peninsula, which is a body of land that is surrounded by water on three sides.",True,gpt35
2821,where did the jungle book story come from,English author Rudyard Kipling,The Jungle Book was written by Rudyard Kipling and first published in 1894. It is based on stories Kipling heard while living in India as a child.,True,gpt35
2822,who does stefan marry in the vampire diaries,Caroline Forbes,Stefan Salvatore marries Caroline Forbes in the Vampire Diaries.,True,gpt35
2823,when does middle-earth shadow of mordor come out,September 2014,"Middle-earth: Shadow of Mordor is currently available for purchase. It was released on September 30, 2014 for PlayStation 4, Xbox One, and Microsoft Windows.",True,gpt35
2824,when does the black panther movie soundtrack come out,"February 9, 2018","The Black Panther soundtrack is set to be released on February 9, 2018.",True,gpt35
2825,who is singing in something just like this,Will Champion,"The Chainsmokers and Coldplay are singing in ""Something Just Like This"".",True,gpt35
2826,created propaganda to support the war effort & encourage the sale of war bonds,the government,"Propaganda used to support the war effort and encourage the sale of war bonds during World War II included posters featuring slogans such as ""Loose Lips Sink Ships,"" ""Buy War Bonds,"" and ""Remember Pearl Harbor."" Other posters featured images of soldiers, sailors, and airmen in action, or of the American flag, with slogans such as ""We Can Do It!"" or ""United We Stand."" Posters were also used to encourage citizens to conserve resources, ration food, and recycle materials. In addition, radio broadcasts and film shorts were used to promote the war effort and to encourage citizens to buy war bonds.",False,gpt35
2827,what is the meaning of molech in the bible,king,"In the Bible, Molech (also known as Molek, Molekh, Molok, and Moloch) is an ancient Semitic god associated with child sacrifice, through fire or war. The worship of Molech was practiced by the Ammonites, Canaanites, and Phoenicians. In the Old Testament, Molech is mentioned in Leviticus 18:21, 20:2–5, and 2 Kings 23:10.",False,gpt35
2828,different ways to say bless you in french,à tes,"1. Que Dieu te bénisse! 
2. Dieu te garde! 
3. Dieu te protège! 
4. Que Dieu te garde! 
5. Que Dieu te donne la paix! 
6. Puisse Dieu te bénir! 
7. Que Dieu te comble de bénédictions! 
8. Que Dieu te guide!",False,gpt35
2829,who wrote the song fly me to the moon,Bart Howard,"The song ""Fly Me to the Moon"" was written in 1954 by Bart Howard.",True,gpt35
2830,who discovered one of the first taxonomic classification schemes,Swedish botanist Carl Linnaeus,"The Swedish botanist Carl Linnaeus (1707–1778) is credited with devising the first taxonomic classification scheme, known as the Systema Naturae.",True,gpt35
2831,who sings in everybody dies in their nightmares,XXXTentacion,"The song ""Everybody Dies in Their Nightmares"" is performed by rapper XXXTentacion.",True,gpt35
2832,where does this season's survivor take place,"Mamanuca Islands, Fiji",This season's Survivor takes place in the Mamanuca Islands of Fiji.,True,gpt35
2833,when was the first election held in india,1951–52,The first general election in India was held in 1951-52.,True,gpt35
2834,what age do you have to be to buy cigarettes in california,21,"In California, you must be 21 years old to purchase cigarettes.",True,gpt35
2835,what is the term of an official in the house of representatives,two-year,The term of an official in the House of Representatives is two years.,True,gpt35
2836,where was the first t20 cricket match played,Lord's,"The first Twenty20 International cricket match was played on 17 February 2005 between Australia and New Zealand at Eden Park in Auckland, New Zealand.",False,gpt35
2837,which us ship was captured off the coast of massachusetts by the british,USS Chesapeake,The British captured the USS Chesapeake off the coast of Massachusetts in 1813.,True,gpt35
2838,who came up with the initial concept of protons and neutrons,Dmitri Ivanenko,The concept of protons and neutrons was first proposed by Ernest Rutherford in 1911. He proposed that atoms were composed of a positive nucleus surrounded by electrons. He also proposed that the nucleus was composed of a combination of positively charged particles (protons) and neutral particles (neutrons).,False,gpt35
2840,when is season 4 of flash coming out,"October 10, 2017","Season 4 of The Flash will premiere on October 10, 2017.",True,gpt35
2841,who sang for lee bowman in my dream is yours,Hal Derwin,"The song ""My Dream Is Yours"" was recorded by Doris Day and Lee Bowman in 1949.",False,gpt35
2842,role of malonyl coa in fatty acid synthesis,chain elongation,"Malonyl-CoA is an important intermediate in the fatty acid synthesis pathway. It is used as a substrate for the fatty acid synthase enzyme, which catalyzes the addition of two-carbon units to the growing fatty acid chain. Malonyl-CoA is also used to inhibit the enzyme carnitine acyltransferase, which is responsible for the transport of fatty acids into the mitochondria for oxidation. By inhibiting this enzyme, the fatty acid synthesis pathway is favored over fatty acid oxidation.",False,gpt35
2843,who said some are born great in twelfth night,Malvolio,"The line, ""some are born great, some achieve greatness, and some have greatness thrust upon them"" is spoken by Malvolio in Act 2, Scene 5 of William Shakespeare's play Twelfth Night.",True,gpt35
2844,what episode does goku give up against cell,165,"Goku gives up against Cell in Episode 166 of Dragon Ball Z, titled ""The Horror Won't End: The Final Struggle"".",False,gpt35
2845,how many wins does tiger woods have on the pga tour,79,Tiger Woods has 82 PGA Tour wins.,False,gpt35
2846,where is simple squamous epithelium found in the body,alveoli,"Simple squamous epithelium can be found in the lining of the respiratory tract, blood vessels, and the heart. It can also be found in the lining of the peritoneal cavity, the lining of the glomerular capsule in the kidneys, and the lining of the serous cavities.",True,gpt35
2847,when did the crucifix become the symbol of christianity,in the 2nd century,The crucifix has been a symbol of Christianity since the 4th century. It was first used as a symbol of faith during the reign of the Roman Emperor Constantine I. It has since become a ubiquitous symbol of the Christian faith and is often used in religious artwork and jewelry.,True,gpt35
2848,who wrote the song rainy days and mondays,Paul Williams,"The song ""Rainy Days and Mondays"" was written by Roger Nichols and Paul Williams.",True,gpt35
2849,why wasnt agent matthews in miss congeniality 2,relocated to Miami,Agent Matthews did not appear in Miss Congeniality 2 because he was not a major character in the first movie and he was not necessary to the plot of the sequel.,False,gpt35
2850,who played nicky on the drew carey show,Kate Walsh,Christa Miller played the role of Nicky in The Drew Carey Show.,False,gpt35
2851,who designed the traffic circle in long beach ca,German engineer Werner Ruchti,The traffic circle was designed by landscape architect Joseph E. Binder in 1929 as part of the City Beautiful movement.,False,gpt35
2852,the first vice president of india who become the president letter was,Sarvepalli Radhakrishnull,"Dr. Sarvepalli Radhakrishnull. He was the first Vice President of India, who later became the President of India in 1962.",True,gpt35
2853,what type of tale is the pardoner's tale,a moral tale,"The Pardoner's Tale is a moral fable, which is a type of story that teaches a moral lesson.",True,gpt35
2854,who scored fastest 10000 runs in test cricket,Alastair Cook,"The fastest 10000 runs in Test cricket was achieved by Indian cricketer Virat Kohli, who achieved the feat in 205 innings in October 2018. He is the quickest to reach the milestone, breaking the previous record held by Sachin Tendulkar, who achieved it in 259 innings.",True,gpt35
2855,when did red dead redemption 1 come out,"May 18, 2010","Red Dead Redemption was released on May 18, 2010 in North America and May 21, 2010 in Europe.",True,gpt35
2856,when was the first driver's license required,1888,The first driver's license requirements were established in 1901 in the state of New York.,False,gpt35
2857,list of books written by abul kalam azad,Ghubar-e-Khatir,"1. India Wins Freedom (1958)
2. Ghubar-e-Khatir (1935)
3. Rashtriya Swaraj (1939)
4. Tarjuman al-Quran (1946)
5. India Divided (1946)
6. The Discovery of India (1946)
7. The Story of My Experiments with Truth (1927)
8. An Autobiography (1956)
9. India and the World (1940)
10. The Way to Freedom (1944)",True,gpt35
2858,who is next in line to inherit the british throne,"Charles, Prince of Wales",Prince Charles is next in line to inherit the British throne.,True,gpt35
2861,what does the c stand for chrysler 300c,coupe,"The ""C"" in Chrysler 300C stands for ""C""lassic.",False,gpt35
2862,how many ammendments to the constitution have there been,Twenty-seven,There have been 27 amendments to the United States Constitution.,True,gpt35
2864,original cast of natasha pierre and the great comet of 1812,Amber Gray,"The original cast of Natasha, Pierre & The Great Comet of 1812 included:

* Josh Groban as Pierre
* Denée Benton as Natasha
* Amber Gray as Helene
* Lucas Steele as Anatole
* Brittain Ashford as Sonya
* Grace McLean as Marya D
* Nick Choksi as Dolokhov
* Gelsey Bell as Princess Mary
* Paul Alexander Nolan as Balaga
* Nick Gaswirth as Andrey
* Scott Stangland as Bolkonsky
* Nick Rashad Burroughs as Petya
* Sumayya Ali as Olga
* Azudi Onyejekwe as Masha
* Ken Clark as Feve/Kamenyetski
* Lulu Fall as Varinka/Kochubey
* Billy Joe Kiessling as Pierre's Servant/Ensemble
* Lucas Papaelias as Pierre's Servant/Ensemble
* Pearl Rhein as Pierre's Servant/Ensemble
* Courtney Bassett as Pierre's Servant/Ensemble
* Heath Saunders as Pierre's Servant/Ensemble
* Mary Spencer Knapp as Pierre's Servant/Ensemble
* Or Matias as Pierre's Servant/Ensemble
* Josh Canfield as Pierre's Servant/Ensemble
* Paloma Garcia-Lee as Pierre's Servant/Ensemble
* Katrina Yaukey as Pierre's Servant/Ensemble
* Lauren Zakrin as Pierre's Servant/Ensemble
* Nicholas Belton as Pierre's Servant/Ensemble
* Courtney Bassett as Pierre's Servant/Ensemble
* Heath Saunders as Pierre's Servant/Ensemble
* Mary Spencer Knapp as Pierre's Servant/Ensemble
* Or Matias as Pierre's Servant/Ensemble
* Josh Canfield as Pierre's Servant/Ensemble
* Paloma Garcia-Lee as Pierre's Servant/Ensemble
* Katrina Yaukey as Pierre's Servant/Ensemble
* Lauren Zakrin as Pierre's Servant/Ensemble
* Nicholas Belton as Pierre's Servant/Ensemble
* Mary Ellen Ashley as French Princess/Ensemble
* Andrew Mayer as Russian Officer/Ensemble
* Mary Callanull as Russian Officer/Ensemble
* Sam Poon as Russian Officer/Ensemble
* Reed Luplau as Russian Officer/Ensemble
* Ani Taj as Russian Officer/Ensemble
* Josh Kolbo as Russian Officer/Ensemble
* Stephanie Torns as Russian Officer/Ensemble
* Bridgette S. Gordon as Russian Officer/Ensemble
* Katrina Yaukey as Russian Officer/Ensemble
* Lauren Zakrin as Russian Officer/Ensemble
* Nicholas Belton as Russian Officer/Ensemble",True,gpt35
2865,who sang smoke gets in your eyes first,Gertrude Niesen,"The first recording of ""Smoke Gets in Your Eyes"" was by American bandleader and songwriter Paul Whiteman and His Orchestra in 1933. The vocals were performed by vocalist and Whiteman regular, Jack Fulton.",False,gpt35
2866,what are the main crops grown in the united states,Corn,"The main crops grown in the United States are corn, soybeans, wheat, hay, cotton, fruits and vegetables. Other important crops include rice, sorghum, barley, oats, peanuts, sunflowers, potatoes, and sugar beets.",True,gpt35
2867,who is the owner of the mandalay bay in vegas,MGM Resorts International,Mandalay Bay is owned by MGM Resorts International.,True,gpt35
2869,what is the shannara chronicles season 2 based on,The Sword of Shannara Trilogy,"The Shannara Chronicles Season 2 is based on The Elfstones of Shannara, the second book in the Shannara series by author Terry Brooks.",False,gpt35
2870,who votes in the baseball hall of fame,or the Veterans Committee,"The Baseball Hall of Fame is voted on by members of the Baseball Writers' Association of America (BBWAA). Each year, the BBWAA votes on a ballot of former players, managers, umpires, and executives who are eligible for induction into the Hall of Fame.",False,gpt35
2871,when is season 3 of grace and frankie being released,"March 24, 2017","Season 3 of Grace and Frankie is set to be released on March 24, 2017.",True,gpt35
2872,who played taylor on the bold and beautiful,Hunter Tylo,Hunter Tylo,True,gpt35
2873,what do you call initials that stand for something,acronym,Acronyms.,True,gpt35
2874,who expanded the palace of versailles to its present size,Louis XIV,"The expansion of the Palace of Versailles to its present size was largely due to the efforts of King Louis XIV, who was known as the Sun King. He began the expansion in 1668 and it was completed in 1710. The expansion included the addition of the Hall of Mirrors, the Grand Trianon, the Royal Chapel, and the Grand Commun.",True,gpt35
2875,when did michigan last win a national championship,1989,The last time Michigan won a national championship was in the 2018-2019 season. The Wolverines defeated the Villanova Wildcats 79-62 in the National Championship game.,False,gpt35
2876,when did holland become involved in world war 2,15 May 1940,"Holland officially declared war on Germany on May 10, 1940, after German forces invaded the country.",True,gpt35
2877,when was the first ford f 150 made,1975,The first Ford F-150 was introduced in 1975.,True,gpt35
2878,which philosopher advocated the idea of return to nature,Bacon,"The philosopher who advocated the idea of a return to nature was Jean-Jacques Rousseau. He argued that modern society had caused people to become alienated from nature, and that a return to a more natural state of being was necessary for true happiness.",False,gpt35
2879,when did canada gain independence from great britain,"April 17, 1982","Canada gained its independence from Great Britain on July 1, 1867, when the British North America Act created the Dominion of Canada.",False,gpt35
2880,who won the oscar for best actor when titanic was nominated,Jack Nicholson,The Oscar for Best Actor when Titanic was nominated went to Jack Nicholson for his role in As Good as It Gets.,True,gpt35
2881,what are the spices in chinese 5 spice powder,Sichuan pepper,"Chinese 5 spice powder typically contains star anise, cloves, Sichuan peppercorns, fennel seeds, and cinnamon.",True,gpt35
2882,when were birth certificates first issued in the united states,1902,Birth certificates were first issued in the United States in the late 1800s. The first state to start issuing birth certificates was Massachusetts in 1867.,False,gpt35
2883,when did marley die in a christmas carol,"December 24, 1836",Marley died seven years before the events of A Christmas Carol.,False,gpt35
2884,when was the time the eagles won the superbowl,2017,"The Philadelphia Eagles won their first Super Bowl in 2018, when they defeated the New England Patriots 41-33 in Super Bowl LII.",False,gpt35
2885,time of the state of the nation address,after 9pm ET,"The State of the Nation Address is typically delivered in the Philippines on the fourth Monday of July, or the last Monday of July if the fourth Monday falls on a holiday.",False,gpt35
2886,what are the ranks in the us navy,E-8s senior chief petty officer,"The ranks in the United States Navy, from highest to lowest, are as follows:

1. Admiral
2. Vice Admiral
3. Rear Admiral
4. Captain
5. Commander
6. Lieutenullt Commander
7. Lieutenullt
8. Lieutenullt Junior Grade
9. Ensign
10. Chief Warrant Officer
11. Warrant Officer
12. Chief Petty Officer
13. Petty Officer First Class
14. Petty Officer Second Class
15. Petty Officer Third Class
16. Seaman
17. Seaman Apprentice
18. Seaman Recruit",False,gpt35
2887,who played charles on when calls the heart,Steve Bacic,Daniel Lissing,False,gpt35
2888,who owns the majority of the us debt,China,"The majority of the US debt is owned by the Federal Reserve, the Social Security Trust Fund, and other domestic and foreign investors.",False,gpt35
2889,where is wake forest located in north carolina,78.51889°W,"Wake Forest is located in Wake County, North Carolina, approximately 25 miles north of Raleigh, the state capital.",True,gpt35
2890,what is the movie about six degrees of separation,Six Degrees of Separation,"Six Degrees of Separation is a 1993 American comedy-drama film directed by Fred Schepisi and starring Stockard Channing, Will Smith, and Donald Sutherland. The screenplay by John Guare is based on his Pulitzer Prize-nominated play of the same name. The story is about a young con artist who, posing as the son of Sidney Poitier, cons his way into the lives of a wealthy New York couple. The film was nominated for multiple awards, including two Academy Award nominations for Best Supporting Actress (Stockard Channing) and Best Adapted Screenplay.",True,gpt35
2891,where is dakar located on the world map,Senegal,"Dakar is located on the western coast of Africa, on the tip of the Cape Verde Peninsula. It is about 500 miles (800 km) west of the capital of Nigeria, Abuja. On a world map, Dakar is located at the coordinates of 14.6937° N, 17.4440° W.",False,gpt35
2892,who is credited with the discovery of the neutron,James Chadwick,The neutron was discovered by the British physicist James Chadwick in 1932.,True,gpt35
2893,all of the states in the northeast region,New Hampshire,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania, Delaware, Maryland, and Washington D.C.",True,gpt35
2894,where did an independence movement occur because of the congress of vienna,Italy,"The Congress of Vienna took place in 1815 and was a meeting of the major European powers to discuss the reorganization of Europe after the Napoleonic Wars. One of the results of the Congress was the creation of the German Confederation and the Austrian Empire. This led to the emergence of a number of independence movements in the German-speaking countries and in the Italian states, which sought to break away from the control of the Austrian Empire.",False,gpt35
2895,who played the princess in kingsman secret service,Hanna Alström,The princess in Kingsman: The Secret Service is played by Sofia Boutella.,False,gpt35
2896,when did the three little pigs come out,first published in 1890,"The Three Little Pigs was first published in 1837 as part of a collection of stories called ""Nursery Rhymes and Tales"".",False,gpt35
2897,where does the term the west come from,the Roman Empire,"The term ""the West"" is generally used to refer to the countries of western Europe, North America, and their former colonies, as well as the cultures and societies associated with them. The origin of the term is unclear, but it is likely derived from the idea of the ""western world"" or the ""western hemisphere,"" which was used to refer to the part of the world west of the Eurasian landmass. This concept was popularized in the 19th century by American writer and historian Washington Irving, who wrote about the ""Western Hemisphere"" in his book The Adventures of Captain Bonneville. The term has since been used to refer to the cultures, societies, and countries of the western world.",False,gpt35
2898,who is the first president to be impeached,Andrew Johnson,Andrew Johnson was the first President of the United States to be impeached. He was impeached by the House of Representatives in 1868 on 11 articles of impeachment relating to violation of the Tenure of Office Act. He was acquitted by the Senate in 1868 and served out his term.,True,gpt35
2899,what kind of beer is st pauli girl,Special Dark,"St. Pauli Girl is a German pale lager brewed in the city of Bremen. It is a light-bodied, full-flavored beer with a slightly sweet, malty taste and a slightly bitter finish.",False,gpt35
2900,when does like cage season 2 come out,"June 22, 2018",The release date for Season 2 of Like Cage has not yet been announced.,False,gpt35
2901,types of skiing in the winter olympics 2018,Slalom,"1. Alpine Skiing
2. Cross-Country Skiing
3. Freestyle Skiing
4. Nordic Combined
5. Ski Jumping
6. Snowboarding",False,gpt35
2902,who played gino in a place to call home,Aldo Mignone,Brett Climo played Gino Poliziano in A Place to Call Home.,False,gpt35
2904,when was the south asian association for regional co-operation (saarc) formed,December 1985,"The South Asian Association for Regional Cooperation (SAARC) was formed on December 8, 1985.",True,gpt35
2907,who wrote the song would i lie to you,Peter Vale,"The song ""Would I Lie to You"" was written by Charles and Eddie.",False,gpt35
2908,number of films in lord of the rings,three,"There are three films in The Lord of the Rings film series: The Fellowship of the Ring (2001), The Two Towers (2002), and The Return of the King (2003).",True,gpt35
2909,is jaffa cakes a biscuit or a cake,Cake,Jaffa Cakes are a cake.,True,gpt35
2910,who does the voice of stewie family guy,Seth MacFarlane,The voice of Stewie Griffin on Family Guy is Seth MacFarlane.,True,gpt35
2911,what drug does the mom use in requiem for a dream,weight-loss amphetamines,"The mother in Requiem for a Dream uses a variety of drugs, including heroin, cocaine, amphetamines, and other stimulants.",True,gpt35
2912,how long was dark side of the moon number 1,a week,"Dark Side of the Moon was number one on the Billboard 200 chart for a total of 741 weeks, from March 1973 to May 1988.",False,gpt35
2914,who is the actor that plays jt on the young and the restless,Thaddeus Rowe Luckinbill,The actor who plays JT Hellstrom on The Young and the Restless is Thad Luckinbill.,True,gpt35
2915,when was the first commercial cell phone released,1983,"The first commercially available cell phone was the Motorola DynaTAC 8000X, released in 1983.",True,gpt35
2916,who sings the theme song for degrassi the next generation,Jakalope,"The theme song for Degrassi: The Next Generation is called ""Whatever It Takes"" and is performed by Alexz Johnson.",False,gpt35
2917,when did the first ice age come out,2002,The first ice age began about 2.6 million years ago during the late Pliocene Epoch.,False,gpt35
2918,what is a e8 in the marine corps,Master sergeant,"E-8 is the eighth enlisted rank (pay grade E-8) in the United States Marine Corps, just above first sergeant and below master gunnery sergeant. The E-8 grade begins with the rank of sergeant major, followed by master sergeant, first sergeant, master gunnery sergeant, and sergeant major of the Marine Corps.",False,gpt35
2919,who is given credit for the gnu initiative,Richard Stallman,"The GNU initiative is credited to Richard Stallman, who founded the Free Software Foundation in 1985.",True,gpt35
2920,who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia,Shahzar Rizvi,"The gold medal in the 10m air pistol event at the 2018 Commonwealth Shooting Championship in Brisbane, Australia was won by Jitu Rai of India.",False,gpt35
2921,who is the lead singer of collective soul,Ed Roland,The lead singer of Collective Soul is Ed Roland.,True,gpt35
